Pages,Frames,Page Faults,Disk Reads,Disk Writes
100,1,299,299,199
100,2,298,298,198
100,3,296,296,196
100,4,295,295,195
100,5,291,291,192
100,6,289,289,189
100,7,288,288,188
100,8,286,286,186
100,9,282,282,182
100,10,280,280,180
100,11,279,279,179
100,12,277,277,177
100,13,273,273,173
100,14,271,271,171
100,15,267,267,167
100,16,266,266,166
100,17,265,265,165
100,18,264,264,164
100,19,263,263,163
100,20,261,261,162
100,21,259,259,159
100,22,257,257,157
100,23,255,255,155
100,24,254,254,154
100,25,253,253,153
100,26,251,251,151
100,27,249,249,149
100,28,248,248,148
100,29,245,245,145
100,30,235,235,135
100,31,230,230,130
100,32,229,229,129
100,33,228,228,128
100,34,226,226,126
100,35,224,224,125
100,36,224,224,124
100,37,223,223,123
100,38,222,222,122
100,39,217,217,117
100,40,215,215,115
100,41,214,214,114
100,42,213,213,113
100,43,212,212,112
100,44,211,211,111
100,45,209,209,109
100,46,208,208,108
100,47,207,207,107
100,48,206,206,106
100,49,205,205,105
100,50,204,204,104
100,51,203,203,103
100,52,202,202,102
100,53,201,201,101
100,54,199,199,99
100,55,194,194,94
100,56,191,191,91
100,57,190,190,90
100,58,188,188,88
100,59,187,187,87
100,60,182,182,82
100,61,179,179,79
100,62,178,178,78
100,63,177,177,77
100,64,175,175,75
100,65,174,174,74
100,66,173,173,73
100,67,172,172,72
100,68,171,171,71
100,69,169,169,69
100,70,168,168,68
100,71,164,164,64
100,72,162,162,62
100,73,161,161,61
100,74,154,154,54
100,75,153,153,53
100,76,148,148,48
100,77,146,146,46
100,78,144,144,44
100,79,142,142,42
100,80,141,141,41
100,81,138,138,38
100,82,137,137,37
100,83,134,134,34
100,84,133,133,33
100,85,131,131,31
100,86,128,128,28
100,87,127,127,27
100,88,126,126,26
100,89,125,125,25
100,90,122,122,22
100,91,121,121,21
100,92,120,120,20
100,93,115,115,15
100,94,113,113,13
100,95,112,112,12
100,96,109,109,9
100,97,108,108,8
100,98,105,105,5
100,99,103,103,3
100,100,100,100,0
