Pages,Frames,Page Faults,Disk Reads,Disk Writes
100,1,1100,1100,100
100,2,1090,1090,99
100,3,1080,1080,98
100,4,1070,1070,97
100,5,1060,1060,96
100,6,1050,1050,95
100,7,1040,1040,94
100,8,1030,1030,93
100,9,1020,1020,92
100,10,1010,1010,91
100,11,1000,1000,90
100,12,990,990,89
100,13,980,980,88
100,14,970,970,87
100,15,960,960,86
100,16,950,950,85
100,17,940,940,84
100,18,930,930,83
100,19,920,920,82
100,20,910,910,81
100,21,900,900,80
100,22,890,890,79
100,23,880,880,78
100,24,870,870,77
100,25,860,860,76
100,26,850,850,75
100,27,840,840,74
100,28,830,830,73
100,29,820,820,72
100,30,810,810,71
100,31,800,800,70
100,32,790,790,69
100,33,780,780,68
100,34,770,770,67
100,35,760,760,66
100,36,750,750,65
100,37,740,740,64
100,38,730,730,63
100,39,720,720,62
100,40,710,710,61
100,41,700,700,60
100,42,690,690,59
100,43,680,680,58
100,44,670,670,57
100,45,660,660,56
100,46,650,650,55
100,47,640,640,54
100,48,630,630,53
100,49,620,620,52
100,50,610,610,51
100,51,600,600,50
100,52,590,590,49
100,53,580,580,48
100,54,570,570,47
100,55,560,560,46
100,56,550,550,45
100,57,540,540,44
100,58,530,530,43
100,59,520,520,42
100,60,510,510,41
100,61,500,500,40
100,62,490,490,39
100,63,480,480,38
100,64,470,470,37
100,65,460,460,36
100,66,450,450,35
100,67,440,440,34
100,68,430,430,33
100,69,420,420,32
100,70,410,410,31
100,71,400,400,30
100,72,390,390,29
100,73,380,380,28
100,74,370,370,27
100,75,360,360,26
100,76,350,350,25
100,77,340,340,24
100,78,330,330,23
100,79,320,320,22
100,80,310,310,21
100,81,300,300,20
100,82,290,290,19
100,83,280,280,18
100,84,270,270,17
100,85,260,260,16
100,86,250,250,15
100,87,240,240,14
100,88,230,230,13
100,89,220,220,12
100,90,210,210,11
100,91,200,200,10
100,92,190,190,9
100,93,180,180,8
100,94,170,170,7
100,95,160,160,6
100,96,150,150,5
100,97,140,140,4
100,98,130,130,3
100,99,120,120,2
100,100,100,100,0
