Pages,Frames,Page Faults,Disk Reads,Disk Writes
100,2,4396175,4396175,939
100,3,3281616,3281616,842
100,4,2708563,2708563,713
100,5,2331846,2331846,712
100,6,2086967,2086967,711
100,7,1840068,1840068,598
100,8,1661077,1661077,597
100,9,1546844,1546844,596
100,10,1430207,1430207,595
100,11,1314738,1314738,594
100,12,1200247,1200247,593
100,13,1086090,1086090,488
100,14,1002133,1002133,487
100,15,952416,952416,486
100,16,903783,903783,485
100,17,853966,853966,484
100,18,805715,805715,483
100,19,755896,755896,482
100,20,707371,707371,481
100,21,658374,658374,480
100,22,609745,609745,479
100,23,561016,561016,478
100,24,512185,512185,477
100,25,463512,463512,376
100,26,413087,413087,375
100,27,396830,396830,374
100,28,380563,380563,373
100,29,364502,364502,372
100,30,346687,346687,371
100,31,330566,330566,370
100,32,314361,314361,369
100,33,298220,298220,368
100,34,282033,282033,367
100,35,264166,264166,366
100,36,248035,248035,365
100,37,231842,231842,364
100,38,215515,215515,363
100,39,199254,199254,362
100,40,182843,182843,361
100,41,165044,165044,360
100,42,148757,148757,359
100,43,132588,132588,358
100,44,116203,116203,357
100,45,100172,100172,356
100,46,83927,83927,355
100,47,67558,67558,354
100,48,51237,51237,353
100,49,34826,34826,352
100,50,18257,18257,251
100,51,400,400,250
100,52,398,398,249
100,53,396,396,248
100,54,394,394,247
100,55,392,392,246
100,56,390,390,245
100,57,388,388,244
100,58,386,386,243
100,59,384,384,242
100,60,382,382,241
100,61,380,380,240
100,62,378,378,239
100,63,376,376,238
100,64,374,374,237
100,65,372,372,236
100,66,370,370,235
100,67,368,368,234
100,68,366,366,233
100,69,364,364,232
100,70,362,362,231
100,71,360,360,230
100,72,358,358,229
100,73,356,356,228
100,74,354,354,227
100,75,352,352,226
100,76,350,350,225
100,77,348,348,224
100,78,346,346,223
100,79,344,344,222
100,80,342,342,221
100,81,340,340,220
100,82,338,338,219
100,83,336,336,218
100,84,334,334,217
100,85,332,332,216
100,86,330,330,215
100,87,328,328,214
100,88,326,326,213
100,89,324,324,212
100,90,322,322,211
100,91,320,320,210
100,92,318,318,209
100,93,316,316,208
100,94,314,314,207
100,95,312,312,206
100,96,310,310,205
100,97,308,308,204
100,98,306,306,203
100,99,304,304,202
100,100,100,100,0
