Pages,Frames,Page Faults,Disk Reads,Disk Writes
100,1,299,299,199
100,2,299,299,199
100,3,298,298,198
100,4,298,298,198
100,5,295,295,196
100,6,293,293,194
100,7,293,293,194
100,8,292,292,193
100,9,289,289,190
100,10,288,288,189
100,11,288,288,189
100,12,287,287,188
100,13,284,284,185
100,14,283,283,184
100,15,280,280,181
100,16,279,279,181
100,17,279,279,181
100,18,278,278,181
100,19,276,276,181
100,20,275,275,181
100,21,273,273,179
100,22,273,273,178
100,23,271,271,177
100,24,271,271,177
100,25,270,270,177
100,26,269,269,176
100,27,268,268,175
100,28,268,268,175
100,29,266,266,173
100,30,257,257,164
100,31,253,253,160
100,32,253,253,160
100,33,253,253,160
100,34,252,252,159
100,35,251,251,159
100,36,251,251,159
100,37,251,251,159
100,38,251,251,159
100,39,249,249,155
100,40,247,247,154
100,41,247,247,154
100,42,247,247,154
100,43,244,244,154
100,44,244,244,154
100,45,244,244,153
100,46,244,244,153
100,47,238,238,153
100,48,236,236,153
100,49,236,236,153
100,50,236,236,153
100,51,234,234,153
100,52,230,230,153
100,53,228,228,153
100,54,215,215,152
100,55,203,203,148
100,56,202,202,146
100,57,202,202,145
100,58,200,200,142
100,59,200,200,141
100,60,200,200,140
100,61,200,200,139
100,62,200,200,138
100,63,200,200,137
100,64,200,200,136
100,65,200,200,135
100,66,200,200,134
100,67,200,200,133
100,68,200,200,132
100,69,200,200,131
100,70,200,200,130
100,71,200,200,129
100,72,200,200,128
100,73,200,200,127
100,74,200,200,126
100,75,200,200,125
100,76,200,200,123
100,77,200,200,122
100,78,200,200,121
100,79,200,200,120
100,80,200,200,120
100,81,200,200,118
100,82,200,200,118
100,83,200,200,116
100,84,200,200,116
100,85,200,200,115
100,86,200,200,113
100,87,200,200,113
100,88,200,200,112
100,89,200,200,111
100,90,200,200,110
100,91,200,200,109
100,92,200,200,108
100,93,200,200,107
100,94,200,200,106
100,95,200,200,105
100,96,200,200,104
100,97,200,200,103
100,98,200,200,102
100,99,200,200,101
100,100,100,100,0
