Pages,Frames,Page Faults,Disk Reads,Disk Writes
100,1,1100,1100,100
100,2,1100,1100,100
100,3,1100,1100,100
100,4,1100,1100,100
100,5,1100,1100,100
100,6,1100,1100,100
100,7,1100,1100,100
100,8,1100,1100,100
100,9,1100,1100,100
100,10,1100,1100,100
100,11,1100,1100,100
100,12,1100,1100,100
100,13,1100,1100,100
100,14,1100,1100,100
100,15,1100,1100,100
100,16,1100,1100,100
100,17,1100,1100,100
100,18,1100,1100,100
100,19,1100,1100,100
100,20,1100,1100,100
100,21,1100,1100,100
100,22,1100,1100,100
100,23,1100,1100,100
100,24,1100,1100,100
100,25,1100,1100,100
100,26,1100,1100,100
100,27,1100,1100,100
100,28,1100,1100,100
100,29,1100,1100,100
100,30,1100,1100,100
100,31,1100,1100,100
100,32,1100,1100,100
100,33,1100,1100,100
100,34,1100,1100,100
100,35,1100,1100,100
100,36,1100,1100,100
100,37,1100,1100,100
100,38,1100,1100,100
100,39,1100,1100,100
100,40,1100,1100,100
100,41,1100,1100,100
100,42,1100,1100,100
100,43,1100,1100,100
100,44,1100,1100,100
100,45,1100,1100,100
100,46,1100,1100,100
100,47,1100,1100,100
100,48,1100,1100,100
100,49,1100,1100,100
100,50,1100,1100,100
100,51,1100,1100,100
100,52,1100,1100,100
100,53,1100,1100,100
100,54,1100,1100,100
100,55,1100,1100,100
100,56,1100,1100,100
100,57,1100,1100,100
100,58,1100,1100,100
100,59,1100,1100,100
100,60,1100,1100,100
100,61,1100,1100,100
100,62,1100,1100,100
100,63,1100,1100,100
100,64,1100,1100,100
100,65,1100,1100,100
100,66,1100,1100,100
100,67,1100,1100,100
100,68,1100,1100,100
100,69,1100,1100,100
100,70,1100,1100,100
100,71,1100,1100,100
100,72,1100,1100,100
100,73,1100,1100,100
100,74,1100,1100,100
100,75,1100,1100,100
100,76,1100,1100,100
100,77,1100,1100,100
100,78,1100,1100,100
100,79,1100,1100,100
100,80,1100,1100,100
100,81,1100,1100,100
100,82,1100,1100,100
100,83,1100,1100,100
100,84,1100,1100,100
100,85,1100,1100,100
100,86,1100,1100,100
100,87,1100,1100,100
100,88,1100,1100,100
100,89,1100,1100,100
100,90,1100,1100,100
100,91,1100,1100,100
100,92,1100,1100,100
100,93,1100,1100,100
100,94,1100,1100,100
100,95,1100,1100,100
100,96,1100,1100,100
100,97,1100,1100,100
100,98,1100,1100,100
100,99,1100,1100,100
100,100,100,100,0
