Pages,Frames,Page Faults,Disk Reads,Disk Writes
100,2,2178,2178,940
100,3,1616,1616,844
100,4,1344,1344,716
100,5,1232,1232,716
100,6,1232,1232,716
100,7,1112,1112,604
100,8,1008,1008,604
100,9,1008,1008,604
100,10,1008,1008,604
100,11,1008,1008,604
100,12,1008,1008,604
100,13,900,900,500
100,14,800,800,500
100,15,800,800,500
100,16,800,800,500
100,17,800,800,500
100,18,800,800,500
100,19,800,800,500
100,20,800,800,500
100,21,800,800,500
100,22,800,800,500
100,23,800,800,500
100,24,800,800,500
100,25,700,700,400
100,26,698,698,400
100,27,600,600,400
100,28,600,600,400
100,29,600,600,400
100,30,600,600,400
100,31,600,600,400
100,32,600,600,400
100,33,600,600,400
100,34,600,600,400
100,35,600,600,400
100,36,600,600,400
100,37,600,600,400
100,38,600,600,400
100,39,600,600,400
100,40,600,600,400
100,41,600,600,400
100,42,600,600,400
100,43,600,600,400
100,44,600,600,400
100,45,600,600,400
100,46,600,600,400
100,47,600,600,400
100,48,600,600,400
100,49,600,600,400
100,50,500,500,300
100,51,499,499,300
100,52,400,400,300
100,53,400,400,300
100,54,400,400,300
100,55,400,400,300
100,56,400,400,300
100,57,400,400,300
100,58,400,400,300
100,59,400,400,300
100,60,400,400,300
100,61,400,400,300
100,62,400,400,300
100,63,400,400,300
100,64,400,400,300
100,65,400,400,300
100,66,400,400,300
100,67,400,400,300
100,68,400,400,300
100,69,400,400,300
100,70,400,400,300
100,71,400,400,300
100,72,400,400,300
100,73,400,400,300
100,74,400,400,300
100,75,400,400,300
100,76,400,400,300
100,77,400,400,300
100,78,400,400,300
100,79,400,400,300
100,80,400,400,300
100,81,400,400,300
100,82,400,400,300
100,83,400,400,300
100,84,400,400,300
100,85,400,400,300
100,86,400,400,300
100,87,400,400,300
100,88,400,400,300
100,89,400,400,300
100,90,400,400,300
100,91,400,400,300
100,92,400,400,300
100,93,400,400,300
100,94,400,400,300
100,95,400,400,300
100,96,400,400,300
100,97,400,400,300
100,98,400,400,300
100,99,400,400,300
100,100,100,100,0
