Pages,Frames,Page Faults,Disk Reads,Disk Writes
100,1,300,300,200
100,2,300,300,200
100,3,298,298,198
100,4,297,297,197
100,5,293,293,193
100,6,299,299,199
100,7,297,297,197
100,8,289,289,190
100,9,293,293,195
100,10,289,289,190
100,11,290,290,191
100,12,293,293,193
100,13,291,291,191
100,14,288,288,190
100,15,277,277,181
100,16,278,278,181
100,17,283,283,186
100,18,278,278,183
100,19,280,280,183
100,20,277,277,179
100,21,274,274,178
100,22,268,268,174
100,23,270,270,175
100,24,266,266,174
100,25,274,274,180
100,26,269,269,175
100,27,272,272,180
100,28,262,262,168
100,29,263,263,169
100,30,268,268,175
100,31,260,260,167
100,32,251,251,158
100,33,257,257,164
100,34,254,254,166
100,35,251,251,166
100,36,250,250,161
100,37,248,248,161
100,38,250,250,162
100,39,235,235,150
100,40,246,246,158
100,41,236,236,152
100,42,235,235,149
100,43,232,232,146
100,44,235,235,147
100,45,240,240,152
100,46,231,231,145
100,47,224,224,141
100,48,234,234,152
100,49,233,233,154
100,50,222,222,141
100,51,218,218,132
100,52,205,205,119
100,53,220,220,140
100,54,203,203,121
100,55,214,214,132
100,56,199,199,118
100,57,216,216,135
100,58,208,208,122
100,59,201,201,116
100,60,201,201,117
100,61,192,192,112
100,62,205,205,122
100,63,184,184,108
100,64,190,190,109
100,65,200,200,113
100,66,186,186,102
100,67,180,180,96
100,68,194,194,105
100,69,187,187,100
100,70,179,179,93
100,71,167,167,87
100,72,171,171,85
100,73,171,171,89
100,74,169,169,85
100,75,169,169,88
100,76,163,163,83
100,77,151,151,64
100,78,167,167,81
100,79,149,149,67
100,80,152,152,68
100,81,150,150,65
100,82,145,145,61
100,83,141,141,54
100,84,147,147,58
100,85,142,142,53
100,86,143,143,52
100,87,135,135,48
100,88,143,143,52
100,89,137,137,45
100,90,130,130,40
100,91,119,119,27
100,92,123,123,29
100,93,117,117,23
100,94,116,116,21
100,95,114,114,19
100,96,113,113,16
100,97,114,114,16
100,98,110,110,12
100,99,102,102,3
100,100,100,100,0
