Pages,Frames,Page Faults,Disk Reads,Disk Writes
100,1,1100,1100,100
100,2,1100,1100,100
100,3,1100,1100,100
100,4,1100,1100,100
100,5,1100,1100,100
100,6,1100,1100,100
100,7,1100,1100,100
100,8,1100,1100,100
100,9,1100,1100,100
100,10,1100,1100,100
100,11,1100,1100,100
100,12,1100,1100,100
100,13,1100,1100,100
100,14,1100,1100,100
100,15,1099,1099,100
100,16,1098,1098,100
100,17,1098,1098,100
100,18,1097,1097,100
100,19,1094,1094,100
100,20,1093,1093,100
100,21,1088,1088,100
100,22,1093,1093,100
100,23,1093,1093,100
100,24,1079,1079,100
100,25,1083,1083,100
100,26,1076,1076,100
100,27,1072,1072,100
100,28,1066,1066,100
100,29,1061,1061,100
100,30,1066,1066,100
100,31,1061,1061,100
100,32,1043,1043,100
100,33,1045,1045,100
100,34,1038,1038,100
100,35,1025,1025,100
100,36,1019,1019,100
100,37,1015,1015,100
100,38,1002,1002,100
100,39,1002,1002,100
100,40,1000,1000,100
100,41,976,976,100
100,42,976,976,100
100,43,968,968,100
100,44,956,956,100
100,45,946,946,100
100,46,949,949,100
100,47,927,927,100
100,48,917,917,100
100,49,900,900,100
100,50,899,899,100
100,51,884,884,100
100,52,872,872,100
100,53,874,874,100
100,54,830,830,100
100,55,865,865,100
100,56,830,830,100
100,57,804,804,100
100,58,808,808,100
100,59,794,794,100
100,60,763,763,100
100,61,756,756,100
100,62,747,747,100
100,63,738,738,100
100,64,704,704,100
100,65,713,713,100
100,66,687,687,100
100,67,667,667,100
100,68,667,667,100
100,69,658,658,100
100,70,629,629,100
100,71,615,615,100
100,72,585,585,100
100,73,591,591,99
100,74,587,587,100
100,75,568,568,100
100,76,543,543,100
100,77,528,528,99
100,78,517,517,100
100,79,492,492,100
100,80,468,468,98
100,81,450,450,98
100,82,441,441,99
100,83,428,428,100
100,84,376,376,97
100,85,383,383,95
100,86,349,349,96
100,87,337,337,91
100,88,316,316,90
100,89,318,318,89
100,90,293,293,91
100,91,275,275,86
100,92,248,248,84
100,93,234,234,80
100,94,212,212,73
100,95,196,196,75
100,96,181,181,58
100,97,154,154,44
100,98,138,138,29
100,99,123,123,22
100,100,100,100,0
