Pages,Frames,Page Faults,Disk Reads,Disk Writes
100,2,2504,2504,1006
100,3,1838,1838,890
100,4,1548,1548,809
100,5,1453,1453,787
100,6,1299,1299,724
100,7,1230,1230,694
100,8,1154,1154,660
100,9,1113,1113,664
100,10,1066,1066,631
100,11,1020,1020,608
100,12,1023,1023,620
100,13,961,961,585
100,14,952,952,578
100,15,917,917,573
100,16,895,895,563
100,17,882,882,555
100,18,870,870,547
100,19,832,832,525
100,20,845,845,538
100,21,802,802,512
100,22,790,790,511
100,23,792,792,503
100,24,752,752,481
100,25,762,762,495
100,26,729,729,470
100,27,749,749,491
100,28,736,736,481
100,29,695,695,466
100,30,698,698,464
100,31,681,681,446
100,32,676,676,456
100,33,664,664,445
100,34,655,655,431
100,35,651,651,430
100,36,629,629,422
100,37,616,616,417
100,38,610,610,413
100,39,622,622,415
100,40,599,599,411
100,41,585,585,396
100,42,585,585,402
100,43,579,579,393
100,44,567,567,386
100,45,537,537,376
100,46,518,518,360
100,47,535,535,376
100,48,518,518,353
100,49,551,551,382
100,50,512,512,357
100,51,518,518,367
100,52,473,473,329
100,53,491,491,336
100,54,505,505,359
100,55,469,469,328
100,56,454,454,313
100,57,429,429,302
100,58,424,424,298
100,59,424,424,300
100,60,431,431,295
100,61,431,431,301
100,62,407,407,281
100,63,420,420,286
100,64,413,413,273
100,65,372,372,261
100,66,366,366,257
100,67,367,367,262
100,68,344,344,235
100,69,375,375,258
100,70,364,364,250
100,71,342,342,229
100,72,326,326,217
100,73,298,298,191
100,74,304,304,204
100,75,299,299,195
100,76,290,290,194
100,77,307,307,202
100,78,295,295,190
100,79,266,266,172
100,80,258,258,158
100,81,262,262,154
100,82,270,270,167
100,83,260,260,160
100,84,220,220,129
100,85,219,219,125
100,86,230,230,137
100,87,204,204,116
100,88,185,185,94
100,89,176,176,83
100,90,197,197,101
100,91,175,175,79
100,92,164,164,68
100,93,164,164,68
100,94,157,157,58
100,95,144,144,46
100,96,138,138,41
100,97,129,129,32
100,98,118,118,20
100,99,105,105,6
100,100,100,100,0
